Name,Ring,Quadrant,Status,Description
Storybook,adopt,tools,No Change,"Storybook is an open-source tool for documenting, collaborating and developing UI components in isolation. It provides a environment where developers can showcase, test, and interact with UI components independently of the application logic."
Selenium,caution,tools,No Change,"Selenium is a popular open-source testing framework for automating web browsers. It allows testers to write test scripts in various programming languages (such as Java, Python, and JavaScript) to simulate user interactions with web applications across different browsers and platforms. Selenium supports various testing approaches, including functional testing, regression testing, and cross-browser testing."
Percy,caution,tools,No Change,"Percy is a visual testing and review platform that helps teams catch visual UI bugs and design regressions. It automatically captures screenshots of web pages and visual UI changes during testing or development workflows and provides tools for visual review, comparison, and approval. Percy integrates with CI/CD pipelines and testing frameworks to provide seamless visual testing."
Axe,adopt,tools,No Change,Axe is an open-source accessibility testing tool developed by Deque Systems. It allows developers and testers to automate the accessibility testing of web applications and ensure compliance with web accessibility standards (such as WCAG). Axe analyzes web pages for accessibility issues and provides detailed reports with actionable insights and recommendations for improving accessibility.
Lighthouse CI,adopt,tools,No Change,"Lighthouse CI is a continuous integration tool for automating performance, accessibility, and best practice audits of web pages using Lighthouse, an open-source tool developed by Google. It allows developers to set up automated audits as part of their CI/CD pipelines to catch performance regressions, accessibility issues, and other quality problems early in the development process."
AWS CDK,caution,tools,No Change,"AWS CDK is an open-source software development framework for defining cloud infrastructure as code using familiar programming languages (such as TypeScript, Python, and Java). It allows developers to define and provision AWS resources using high-level constructs, enabling infrastructure automation and management through code. AWS CDK simplifies the process of creating and managing AWS infrastructure and encourages best practices such as infrastructure as code (IaC) and version control."
Prettier,trial,tools,No Change,"Prettier is an opinionated code formatter that automatically formats code to ensure consistency and readability. It supports various programming languages, including JavaScript, TypeScript, CSS, HTML, and JSON. Prettier eliminates debates over code style by enforcing consistent formatting rules and can be easily integrated into development workflows and IDEs."
Webpack,caution,tools,No Change,"Webpack is a module bundler for JavaScript applications that enables developers to bundle and optimize web assets such as JavaScript files, CSS files, and images. It supports code splitting, lazy loading, and tree shaking to improve application performance and load times. Webpack simplifies the process of managing dependencies and building modern web applications."
Azure Pipelines,caution,tools,No Change,"It is a CI/CD tool within Azure DevOps that automates the building, testing, and deployment of applications."
Github Actions,adopt,tools,No Change,"It is a workflow automation tool within GitHub that enables developers to define, build, test, and deploy workflows directly in their repositories. It supports CI/CD processes, custom event-driven automation, and integration with third-party services. "
Github Repositories,adopt,tools,No Change,"A GitHub repository is a storage space where your project's files, including code, documentation, and assets, are stored. It allows for version control using Git, enabling developers to track changes, collaborate with others, and manage project history."
Fastly CDN,adopt,tools,No Change,"Fastly CDN is a tool within the Fastly platform focused on content delivery. It accelerates the distribution of web content by caching static and dynamic resources at Fastly's edge locations, reducing latency and improving load times."
BrowserStack,adopt,tools,No Change,"BrowserStack allows developers to test their websites and applications across a wide range of real devices and browsers. It provides automated and manual testing environments, enabling teams to ensure their code works seamlessly on different platforms, including mobile devices and various browser versions."
DNSimple,adopt,tools,No Change,"DNSimple is a domain management tool that simplifies the process of managing DNS records, domain registrations, and SSL certificates. It allows developers and businesses to quickly set up, manage, and automate domain-related tasks through an easy-to-use API or web interface."
AWS S3,adopt,tools,No Change,"Amazon Simple Storage Service (S3) is a scalable object storage service offered by AWS. It allows businesses to store and retrieve any amount of data at any time, from anywhere on the web."
AWS SQS,adopt,tools,No Change,"Amazon Simple Queue Service (SQS) is a fully managed message queuing service that enables decoupling and scaling microservices, distributed systems, and serverless applications. It allows users to send, store, and receive messages between software components at any volume, without losing messages or requiring other services to be available."
AWS CloudFormation,caution,tools,No Change,AWS CloudFormation is a service that allows developers to define and provision AWS infrastructure as code.
Redis,adopt,tools,No Change,"Redis is an open-source, in-memory data structure store used as a database, cache, and message broker. It supports various data structures such as strings, lists, sets, hashes, and sorted sets. Redis is known for its speed, flexibility, and support for advanced data manipulation operations."
AWS Lambda,adopt,tools,No Change,"AWS Lambda is a serverless compute service that allows users to run code in response to events without provisioning or managing servers. It automatically scales to handle the number of requests, and users are only billed for the compute time consumed during execution."
Fastly WAF,adopt,tools,No Change,"Fastly’s Web Application Firewall (WAF) is a security tool that protects web applications from malicious traffic and attacks such as SQL injection, cross-site scripting (XSS), and bot attacks. It operates at the edge of Fastly’s Content Delivery Network (CDN), filtering out harmful traffic before it reaches the origin server."
AWS Cloudfront,adopt,tools,No Change,"AWS CloudFront is a content delivery network (CDN) tool that securely delivers data, videos, applications, and APIs to customers worldwide with low latency and high transfer speeds."
Terraform,adopt,tools,Moved In,"Terraform is an open-source infrastructure as code (IaC) tool that enables users to define, provision, and manage infrastructure across multiple cloud providers and on-premises environments using a declarative configuration language."
Docker,assess,tools,No Change,"Docker is a platform for building, running, and managing containerised applications. It allows developers to package applications and their dependencies into lightweight, portable containers that can run consistently across different environments."
MySQL,caution,tools,No Change,"MySQL is an open-source relational database management system (RDBMS) widely used for web development and other applications. It's known for its performance, reliability, and ease of use. MySQL is commonly used in conjunction with PHP and other programming languages to create dynamic web applications."
PostgreSQL,adopt,tools,No Change,"PostgreSQL is an open-source, advanced relational database management system (RDBMS) known for its stability, extensibility, and standards compliance. It supports both SQL for querying and relational database management and JSON for non-relational data storage. "
SonarQube,adopt,tools,Moved In,"SonarQube is a platform for continuous code quality and security inspection, designed to detect bugs, vulnerabilities, and code smells in applications."
ZeroBounce,trial,tools,No Change,"ZeroBounce is an email validation and deliverability tool designed to help organisations maintain clean and accurate email lists. It verifies email addresses in real time, detecting invalid, fake, or inactive accounts to minimise bounce rates."
Mockoon,trial,tools,No Change,"Mockoon is a lightweight, open-source tool for creating and managing mock APIs. It enables developers to simulate API endpoints locally without requiring a live backend, facilitating faster development and testing workflows."
AWS Event Bridge,adopt,tools,Moved In,"AWS EventBridge is a serverless event bus that helps you connect applications using events. It routes events from your services, AWS services, or third-party SaaS to targets like Lambda, Step Functions, or SQS — enabling event-driven architecture without needing custom polling or wiring."
AWS EKS,trial,tools,New,"Amazon Elastic Kubernetes Service (EKS) is a managed container orchestration service that simplifies running, scaling, and managing Kubernetes workloads on AWS. It handles the Kubernetes control plane, including scheduling, availability, and scalability, so teams can focus on deploying and operating containerised applications without managing the underlying infrastructure."
AWS Route53,adopt,tools,No Change,"AWS Route 53 is a scalable DNS (Domain Name System) service that lets you register domain names, route traffic to resources (like web servers or S3 buckets), and perform health checks.  It's used to ensure reliable and fast name resolution and traffic routing for web applications. "
AWS SSM,trial,tools,No Change,"AWS SSM (Systems Manager) is a service that helps you manage and automate your infrastructure, and includes Parameter Store — a secure way to store configuration data and secrets such as API keys, passwords, and environment variables.

It’s used to securely access and manage parameters, alongside features like remote command execution, patching, and inventory management — all without needing direct server access."
SCEPman,,tools,No Change,"SCEPman is a certificate authority (CA) solution built on Azure that uses the Simple Certificate Enrollment Protocol (SCEP) to issue and manage X.509 certificates without on-prem infrastructure.

It's used to securely issue certificates for devices, users, and services — supporting scenarios like Wi-Fi authentication, VPN access, and mutual TLS (mTLS) — while integrating with Azure AD and Intune."
AWS Firehose,trial,tools,No Change,"Amazon Kinesis Data Firehose is a fully managed service that ingests, transforms, and delivers streaming data to destinations like S3, Redshift, OpenSearch, Splunk, and New Relic in near real-time.

It’s used for log analytics, monitoring, and real-time data processing — without needing to manage any infrastructure."
Postman,adopt,tools,No Change,"Postman is a popular API platform that allows developers to design, build, test, and manage APIs."
SQL Server,,tools,No Change,Microsoft SQL Server is a proprietary relational database management system developed by Microsoft using SQL
Octopus Deploy,caution,tools,No Change,"Octopus Deploy offers continuous deployment and delivery, automating software and AI workload releases to various infrastructures."
SEQ,caution,tools,No Change,Seq is a log management tool that allows visualization and analysis of logs. It works integrated with structured logging tools such as Serilog
NServiceBus,caution,tools,No Change,The NServiceBus framework is the foundation of the Particular Service Platform for building distributed applications with .NET and messaging.
Github - Copilot,,tools,No Change,
