name,ring,quadrant,status,description
Kaptio,adopt,platforms,No Change,"(aka Kaptio Travel) Newly introduced Tour Managent platform built on Salesforce by Kaptio. Handles product authoring, departure and itinerary management and supplier costing."
New Relic,adopt,platforms,No Change,"New Relic is a monitoring and observability platform that helps organizations monitor, troubleshoot, and optimize the performance of their software applications and infrastructure. It provides real-time insights into application performance, user experience, and system health."
NGINX,caution,platforms,No Change,"Nginx is a high-performance, open-source web server and reverse proxy server used to serve static content, handle load balancing, and proxy requests to backend servers. Nginx is known for its efficiency, scalability, and ability to handle high traffic loads."
Platform.sh,assess,platforms,Moved Out,"Platform.sh is a cloud hosting platform designed for web applications. It provides a fully managed platform-as-a-service (PaaS) solution that automates deployment, scaling, and management of web applications built with various programming languages and frameworks."
PowerBI,adopt,platforms,No Change,
Proofpoint,adopt,platforms,No Change,"Proofpoint is a cloud-based cybersecurity platform that focuses on email security, threat protection, and data loss prevention.

It’s used to detect and block phishing, malware, and advanced threats, protect sensitive data, and ensure email compliance and security across organizations."
Raisely,adopt,platforms,No Change,"Raisely is a fundraising platform that helps organizations create and manage online fundraising campaigns. It provides tools for creating customized donation pages, managing donor relationships, and tracking campaign performance."
SafetyCulture,adopt,platforms,No Change,"Mobile-first platform for inspections, workflows, and real-time operational data."
Sales Cloud,adopt,platforms,No Change,Salesforce platform for managing the sales pipeline from lead to closed deal.
Service Cloud,adopt,platforms,No Change,"Salesforce platform for customer support by managing cases, issues, and ongoing service."
SuccessFactors,adopt,platforms,No Change,"Provides cloud-based tools for managing employee data, performance, and HR processes across the employee lifecycle."
Tealium,adopt,platforms,No Change,Provides tools for collecting and routing customer data across systems to support analytics and digital experience management.
Tour Optima,assess,platforms,No Change,"TourOptima is a specialised, multi-channel guest communication and operations platform designed specifically for tour operators and attractions."
urllo,assess,platforms,No Change,Used for full domain redirects. Not suitable for website and blog redirects. Recently changed names from EasyRedir to urllo.
Ventrata,assess,platforms,Moved Out,"Ventrata provides an enterprise ticketing and point-of-sale system designed to streamline sales and operations for tours, attractions, and experiences. It has moved out to ‘assess’ due to the lack of capabilities and features it has when it comes to product, content, pricing and integration capabilities."
Wordpress,caution,platforms,No Change,"WordPress is a free and open-source content management system (CMS) written in PHP and paired with a MySQL or MariaDB database. It's widely used for creating websites, blogs, and online stores due to its ease of use, extensive plugin ecosystem, and customizable themes."
WCAG AA (Web Content Accessibility Guidelines Level AA),adopt,techniques,No Change,WCAG AA refers to a set of accessibility guidelines established by the World Wide Web Consortium (W3C) to ensure that web content is accessible to users with disabilities. Adhering to these guidelines helps make digital content more inclusive and usable for all users.
Web Vitals,adopt,techniques,No Change,"Web Vitals are a set of metrics introduced by Google to measure and quantify the user experience of web pages, including metrics such as loading time, interactivity, and visual stability. Optimizing for Web Vitals helps improve the performance and usability of web applications."
Unit Testing,adopt,techniques,No Change,Unit testing involves testing individual units or components of a software application in isolation to ensure they behave as expected. It helps verify the correctness of code and detect defects early in the development process.
Integration Testing,adopt,techniques,No Change,Integration testing involves testing the interactions and interfaces between different components or systems of a software application to ensure they work together correctly.
Performance Testing,adopt,techniques,No Change,"Performance testing involves evaluating the speed, responsiveness, and scalability of a software application under various conditions to identify performance bottlenecks and optimize performance."
Accessibility Testing,adopt,techniques,No Change,Accessibility testing involves evaluating the accessibility of a software application or website to ensure it can be used by people with disabilities. It includes testing for compliance with accessibility standards and guidelines such as WCAG.
Load Testing,adopt,techniques,No Change,"Load Testing is a software testing technique used to evaluate the performance and behavior of a system under expected load conditions. "
Code Profiling,assess,techniques,No Change,Code profiling involves analyzing the performance of a software application to identify areas of inefficiency or bottlenecks. It helps developers optimize code for better performance and resource utilisation.
C4 Diagrams,adopt,techniques,No Change,"C4 (Context, Containers, Components, Code) diagrams are a set of visual diagrams used to describe and communicate software architecture at different levels of abstraction, from high-level context diagrams to detailed component and code-level diagrams."
Post Incident Reviews,adopt,techniques,No Change,"Post-incident reviews, also known as postmortems or blameless retrospectives, are meetings or discussions held after an incident or outage to analyze what happened, identify contributing factors, and determine actions to prevent similar incidents in the future."
Incident Response Document,adopt,techniques,No Change,"Incident response documents are documentation or guidelines that outline procedures and protocols for responding to and managing security incidents, data breaches, or other emergencies."
Linting,adopt,techniques,No Change,"Linting involves analyzing code for potential errors, bugs, or stylistic inconsistencies using static code analysis tools or linters. It helps enforce coding standards and best practices."
Continuous Integration,adopt,techniques,No Change,Continuous Integration is a software development practice where code changes are frequently integrated into a shared repository and automatically tested and verified using automated build and test processes.
Infrastructure as Code,adopt,techniques,No Change,"Infrastructure as Code (IaC) is a software development practice that involves managing and provisioning infrastructure resources using code and automation tools. "
Design System,adopt,techniques,No Change,"A design system is a collection of reusable components, patterns, and guidelines used to create consistent and cohesive user interfaces across an organization's digital products and platforms.

"
Error Tagging,adopt,techniques,No Change,"Error tagging involves categorizing and labeling errors and exceptions that occur in software applications to facilitate monitoring, debugging, and troubleshooting. It helps identify recurring issues and prioritize bug fixes and improvements."
Visual Testing,assess,techniques,No Change,Visual testing involves comparing screenshots or snapshots of a software application's user interface against baseline images to detect visual regressions or unintended changes in appearance.
Continuous Deployment,adopt,techniques,No Change,Continuous Deployment is a software development practice where code changes are automatically deployed to production environments as soon as they pass automated tests and quality checks.
Blue/Green Deployments,adopt,techniques,No Change,"Blue/Green Deployments is a deployment strategy where two identical production environments (blue and green) are maintained, with only one environment serving live traffic at a time. New code releases are deployed to the inactive environment, allowing for zero-downtime deployments and easy rollback in case of issues."
Monitoring and Alerting,adopt,techniques,No Change,"Monitoring and alerting involve continuously observing the performance, availability, and health of systems, applications, and infrastructure components in real-time. "
Code Reviews,adopt,techniques,No Change,"Code reviews involve systematically reviewing and analyzing code changes made by developers before they are merged into the main codebase. Code reviews aim to improve code quality, identify defects, enforce coding standards, share knowledge, and foster collaboration among team members."
Pair programming,adopt,techniques,No Change,"Pair programming is an agile software development practice where two developers work together on the same codebase, with one actively writing code (the driver) and the other providing feedback and suggestions (the navigator). It helps improve code quality, knowledge sharing, and collaboration among team members."
End to End Testing,adopt,techniques,No Change,E2E testing involves testing an entire software application from start to finish to ensure that all components and systems work together as expected. It helps validate the behavior and functionality of the application from the user's perspective.
Microservices,adopt,techniques,No Change,"Microservices are an architectural style in software development where an application is composed of small, independent services, where each microservice focuses on a specific business function and can be developed, deployed, and scaled independently. This approach enhances flexibility, scalability, and maintainability, allowing teams to work on different services concurrently and choose the most appropriate technologies for each one."
Feature Toggles,adopt,techniques,No Change,"Feature toggles, also known as feature flags, are a technique in software development that allows developers to enable or disable specific features or functionality within an application without deploying new code. This provides flexibility to manage features dynamically and can help in various scenarios such as incremental feature releases, A/B testing, and continuous integration."
Agile,adopt,techniques,No Change,"Agile is a project management and software development approach that emphasizes flexibility, collaboration, and customer-centricity. It focuses on delivering small, incremental changes through iterative cycles, allowing teams to adapt to changing requirements and feedback."
MTLS,,techniques,No Change,"mTLS (Mutual TLS) is a security protocol where both the client and server authenticate each other using certificates during a TLS handshake.

It’s used to ensure secure, trusted communication between systems — protecting against unauthorized access and man-in-the-middle attacks."
Least Privilege,adopt,techniques,No Change,"A security practice that prescribes giving users, systems, or processes only the minimum access necessary to perform their specific tasks. This approach reduces the risk of accidental or malicious misuse of sensitive data or systems by limiting exposure and potential attack surfaces"
Cost Optimisation,adopt,techniques,No Change,The Cost Optimization pillar of the AWS Well-Architected Framework focuses on designing cloud workloads that deliver maximum business value at the lowest possible cost.
Name,Ring,Quadrant,Status,Description
Cypress,adopt,tools,No Change,"Cypress is a front-end testing framework for testing web applications. It allows developers to write end-to-end tests, integration tests, and unit tests for web applications using JavaScript. Cypress provides a rich set of features for testing modern web applications, including real-time test execution, automatic waiting, network stubbing, and time-traveling debugger."
Jest,adopt,tools,No Change,"Jest is a JavaScript testing framework developed by Facebook for testing JavaScript code, including React applications. It is widely used for writing unit tests, integration tests, and snapshot tests for JavaScript applications. Jest provides features such as automatic mocking, code coverage analysis, and parallel test execution."
ESLint,adopt,tools,No Change,"ESLint is a popular static code analysis tool for identifying and fixing code errors, enforcing coding standards, and detecting code smells in JavaScript and TypeScript codebases. It provides customizable rulesets, extensibility through plugins, and integrations with build tools and editors to ensure code quality and maintainability."
Mocha,caution,tools,No Change,"Mocha is a JavaScript testing framework for Node.js and the browser. It provides a flexible and expressive syntax for writing unit tests, integration tests, and asynchronous test cases using a variety of testing styles (such as BDD and TDD). Mocha supports features such as test reporting, parallel test execution, and asynchronous test handling."
Puppet,caution,tools,No Change,"Puppet is a configuration management tool that automates the deployment and management of IT infrastructure. It allows administrators to define infrastructure as code using a declarative language, and then deploy and manage infrastructure resources across multiple platforms and environments. Puppet helps organizations achieve consistency, scalability, and reliability in their infrastructure management practices."
Grunt,caution,tools,No Change,"It is a JavaScript-based task runner designed to automate repetitive tasks in the development workflow, such as minifying files, compiling Sass or LESS, running tests, and optimising images."
Gulp,caution,tools,No Change,"It is a JavaScript-based task runner and build system that automates time-consuming tasks in the development workflow, such as minification, transpilation, bundling, and live reloading. Unlike Grunt, Gulp uses a code-driven, stream-based approach to define tasks, offering faster performance and greater flexibility for developers working on web projects."
K6,adopt,tools,Moved In,"k6 is an open-source load testing tool for testing the performance and scalability of web applications. It allows developers to write test scripts in JavaScript and execute them to simulate user load on web applications. k6 provides features such as distributed testing, scenario-based testing, and real-time result analysis."
Vite,adopt,tools,No Change,"Vite is a front-end build tool developed by Evan You, the creator of Vue.js. It is designed to optimize the development experience for building modern web applications by providing fast build times, hot module replacement (HMR), and out-of-the-box support for modern JavaScript features and bundling techniques."
Web Page Test,adopt,tools,No Change,"WebPageTest is an open-source tool for testing and analyzing the performance of web pages. It allows developers to measure various performance metrics such as page load time, time to first byte (TTFB), and render start time across different browsers, devices, and network conditions."
Rocketeer,caution,tools,No Change,"Rocketeer is a deployment automation tool for PHP applications. It simplifies the process of deploying PHP applications to servers by providing a simple and intuitive command-line interface for executing deployment tasks such as code deployment, database migration, and cache clearing."
Mermaid,adopt,tools,No Change,"Mermaid is a JavaScript-based diagramming and charting tool that allows developers to create diagrams, flowcharts, sequence diagrams, and Gantt charts using a simple text-based syntax. It is often used for visualizing complex systems, processes, and data flows in technical documentation and presentations."
SOAP UI,caution,tools,No Change,"Soap UI is a widely-used testing tool for testing SOAP APIs. It allows testers to create, execute, and automate functional and performance tests for web services. Soap UI provides features such as test case management, assertion validation, mock services, and reporting."
Storybook,adopt,tools,No Change,"Storybook is an open-source tool for documenting, collaborating and developing UI components in isolation. It provides a environment where developers can showcase, test, and interact with UI components independently of the application logic."
Selenium,caution,tools,No Change,"Selenium is a popular open-source testing framework for automating web browsers. It allows testers to write test scripts in various programming languages (such as Java, Python, and JavaScript) to simulate user interactions with web applications across different browsers and platforms. Selenium supports various testing approaches, including functional testing, regression testing, and cross-browser testing."
Percy,caution,tools,No Change,"Percy is a visual testing and review platform that helps teams catch visual UI bugs and design regressions. It automatically captures screenshots of web pages and visual UI changes during testing or development workflows and provides tools for visual review, comparison, and approval. Percy integrates with CI/CD pipelines and testing frameworks to provide seamless visual testing."
Axe,adopt,tools,No Change,Axe is an open-source accessibility testing tool developed by Deque Systems. It allows developers and testers to automate the accessibility testing of web applications and ensure compliance with web accessibility standards (such as WCAG). Axe analyzes web pages for accessibility issues and provides detailed reports with actionable insights and recommendations for improving accessibility.
Lighthouse CI,adopt,tools,No Change,"Lighthouse CI is a continuous integration tool for automating performance, accessibility, and best practice audits of web pages using Lighthouse, an open-source tool developed by Google. It allows developers to set up automated audits as part of their CI/CD pipelines to catch performance regressions, accessibility issues, and other quality problems early in the development process."
AWS CDK,caution,tools,No Change,"AWS CDK is an open-source software development framework for defining cloud infrastructure as code using familiar programming languages (such as TypeScript, Python, and Java). It allows developers to define and provision AWS resources using high-level constructs, enabling infrastructure automation and management through code. AWS CDK simplifies the process of creating and managing AWS infrastructure and encourages best practices such as infrastructure as code (IaC) and version control."
Prettier,trial,tools,No Change,"Prettier is an opinionated code formatter that automatically formats code to ensure consistency and readability. It supports various programming languages, including JavaScript, TypeScript, CSS, HTML, and JSON. Prettier eliminates debates over code style by enforcing consistent formatting rules and can be easily integrated into development workflows and IDEs."
Webpack,caution,tools,No Change,"Webpack is a module bundler for JavaScript applications that enables developers to bundle and optimize web assets such as JavaScript files, CSS files, and images. It supports code splitting, lazy loading, and tree shaking to improve application performance and load times. Webpack simplifies the process of managing dependencies and building modern web applications."
Azure Pipelines,caution,tools,No Change,"It is a CI/CD tool within Azure DevOps that automates the building, testing, and deployment of applications."
Github Actions,adopt,tools,No Change,"It is a workflow automation tool within GitHub that enables developers to define, build, test, and deploy workflows directly in their repositories. It supports CI/CD processes, custom event-driven automation, and integration with third-party services. "
Github Repositories,adopt,tools,No Change,"A GitHub repository is a storage space where your project's files, including code, documentation, and assets, are stored. It allows for version control using Git, enabling developers to track changes, collaborate with others, and manage project history."
Fastly CDN,adopt,tools,No Change,"Fastly CDN is a tool within the Fastly platform focused on content delivery. It accelerates the distribution of web content by caching static and dynamic resources at Fastly's edge locations, reducing latency and improving load times."
BrowserStack,adopt,tools,No Change,"BrowserStack allows developers to test their websites and applications across a wide range of real devices and browsers. It provides automated and manual testing environments, enabling teams to ensure their code works seamlessly on different platforms, including mobile devices and various browser versions."
DNSimple,adopt,tools,No Change,"DNSimple is a domain management tool that simplifies the process of managing DNS records, domain registrations, and SSL certificates. It allows developers and businesses to quickly set up, manage, and automate domain-related tasks through an easy-to-use API or web interface."
AWS S3,adopt,tools,No Change,"Amazon Simple Storage Service (S3) is a scalable object storage service offered by AWS. It allows businesses to store and retrieve any amount of data at any time, from anywhere on the web."
AWS SQS,adopt,tools,No Change,"Amazon Simple Queue Service (SQS) is a fully managed message queuing service that enables decoupling and scaling microservices, distributed systems, and serverless applications. It allows users to send, store, and receive messages between software components at any volume, without losing messages or requiring other services to be available."
AWS CloudFormation,caution,tools,No Change,AWS CloudFormation is a service that allows developers to define and provision AWS infrastructure as code.
Redis,adopt,tools,No Change,"Redis is an open-source, in-memory data structure store used as a database, cache, and message broker. It supports various data structures such as strings, lists, sets, hashes, and sorted sets. Redis is known for its speed, flexibility, and support for advanced data manipulation operations."
AWS Lambda,adopt,tools,No Change,"AWS Lambda is a serverless compute service that allows users to run code in response to events without provisioning or managing servers. It automatically scales to handle the number of requests, and users are only billed for the compute time consumed during execution."
Fastly WAF,adopt,tools,No Change,"Fastly’s Web Application Firewall (WAF) is a security tool that protects web applications from malicious traffic and attacks such as SQL injection, cross-site scripting (XSS), and bot attacks. It operates at the edge of Fastly’s Content Delivery Network (CDN), filtering out harmful traffic before it reaches the origin server."
AWS Cloudfront,adopt,tools,No Change,"AWS CloudFront is a content delivery network (CDN) tool that securely delivers data, videos, applications, and APIs to customers worldwide with low latency and high transfer speeds."
Terraform,adopt,tools,Moved In,"Terraform is an open-source infrastructure as code (IaC) tool that enables users to define, provision, and manage infrastructure across multiple cloud providers and on-premises environments using a declarative configuration language."
Docker,assess,tools,No Change,"Docker is a platform for building, running, and managing containerised applications. It allows developers to package applications and their dependencies into lightweight, portable containers that can run consistently across different environments."
MySQL,caution,tools,No Change,"MySQL is an open-source relational database management system (RDBMS) widely used for web development and other applications. It's known for its performance, reliability, and ease of use. MySQL is commonly used in conjunction with PHP and other programming languages to create dynamic web applications."
PostgreSQL,adopt,tools,No Change,"PostgreSQL is an open-source, advanced relational database management system (RDBMS) known for its stability, extensibility, and standards compliance. It supports both SQL for querying and relational database management and JSON for non-relational data storage. "
SonarQube,adopt,tools,Moved In,"SonarQube is a platform for continuous code quality and security inspection, designed to detect bugs, vulnerabilities, and code smells in applications."
ZeroBounce,trial,tools,No Change,"ZeroBounce is an email validation and deliverability tool designed to help organisations maintain clean and accurate email lists. It verifies email addresses in real time, detecting invalid, fake, or inactive accounts to minimise bounce rates."
Mockoon,trial,tools,No Change,"Mockoon is a lightweight, open-source tool for creating and managing mock APIs. It enables developers to simulate API endpoints locally without requiring a live backend, facilitating faster development and testing workflows."
AWS Event Bridge,adopt,tools,Moved In,"AWS EventBridge is a serverless event bus that helps you connect applications using events. It routes events from your services, AWS services, or third-party SaaS to targets like Lambda, Step Functions, or SQS — enabling event-driven architecture without needing custom polling or wiring."
AWS EKS,trial,tools,New,"Amazon Elastic Kubernetes Service (EKS) is a managed container orchestration service that simplifies running, scaling, and managing Kubernetes workloads on AWS. It handles the Kubernetes control plane, including scheduling, availability, and scalability, so teams can focus on deploying and operating containerised applications without managing the underlying infrastructure."
AWS Route53,adopt,tools,No Change,"AWS Route 53 is a scalable DNS (Domain Name System) service that lets you register domain names, route traffic to resources (like web servers or S3 buckets), and perform health checks.  It's used to ensure reliable and fast name resolution and traffic routing for web applications. "
AWS SSM,trial,tools,No Change,"AWS SSM (Systems Manager) is a service that helps you manage and automate your infrastructure, and includes Parameter Store — a secure way to store configuration data and secrets such as API keys, passwords, and environment variables.

It’s used to securely access and manage parameters, alongside features like remote command execution, patching, and inventory management — all without needing direct server access."
SCEPman,,tools,No Change,"SCEPman is a certificate authority (CA) solution built on Azure that uses the Simple Certificate Enrollment Protocol (SCEP) to issue and manage X.509 certificates without on-prem infrastructure.

It's used to securely issue certificates for devices, users, and services — supporting scenarios like Wi-Fi authentication, VPN access, and mutual TLS (mTLS) — while integrating with Azure AD and Intune."
AWS Firehose,trial,tools,No Change,"Amazon Kinesis Data Firehose is a fully managed service that ingests, transforms, and delivers streaming data to destinations like S3, Redshift, OpenSearch, Splunk, and New Relic in near real-time.

It’s used for log analytics, monitoring, and real-time data processing — without needing to manage any infrastructure."
Postman,adopt,tools,No Change,"Postman is a popular API platform that allows developers to design, build, test, and manage APIs."
SQL Server,,tools,No Change,Microsoft SQL Server is a proprietary relational database management system developed by Microsoft using SQL
Octopus Deploy,caution,tools,No Change,"Octopus Deploy offers continuous deployment and delivery, automating software and AI workload releases to various infrastructures."
SEQ,caution,tools,No Change,Seq is a log management tool that allows visualization and analysis of logs. It works integrated with structured logging tools such as Serilog
NServiceBus,caution,tools,No Change,The NServiceBus framework is the foundation of the Particular Service Platform for building distributed applications with .NET and messaging.
Github - Copilot,,tools,No Change,GitHub Copilot is an AI-powered code completion tool developed by GitHub in collaboration with OpenAI. It uses machine learning to provide code suggestions and autocompletions as developers write code, helping to increase productivity and reduce the time spent on boilerplate code and common programming tasks.
